Frec[Hz],Fase [°],Rp[Ohm],Cs[F],D
10,-96.29074437,-6055576.945,2.41E-08,0.1102375207
10.59253725,-97.37962037,-5818363.492,2.03E-08,0.1295156488
11.22018454,-100.3420112,-3884170.614,2.07E-08,0.1824883501
11.88502227,-89.28431693,54681139.26,1.96E-08,0.01249167573
12.58925412,-95.63011455,-6807643.191,1.90E-08,0.09858153578
13.33521432,-86.25326905,9711765.679,1.88E-08,0.06548616218
14.12537545,-93.79137959,-9701163.016,1.76E-08,0.06626880994
14.96235656,-87.41104298,15792264.04,1.49E-08,0.04521660218
15.84893192,-88.64750735,24704433.09,1.72E-08,0.02360983534
16.78804018,-92.18022413,-14772228.54,1.69E-08,0.03807046618
17.7827941,-94.30972834,-6981961.203,1.71E-08,0.07536113137
18.83649089,-90.91549996,-31986628.85,1.65E-08,0.01597984866
19.95262315,-92.04348973,-13903816.99,1.61E-08,0.03568075442
21.1348904,-92.9485025,-9114831.248,1.61E-08,0.05150655199
22.38721139,-92.55272322,-9226936.707,1.73E-08,0.04458292816
23.71373706,-89.64050223,68065869.19,1.57E-08,0.006274502083
25.11886432,-89.55885943,51014567.91,1.61E-08,0.007699507519
26.6072506,-91.34893392,-16277434.79,1.56E-08,0.02354768916
28.18382931,-91.38358595,-14210920.16,1.65E-08,0.02415282522
29.85382619,-90.75703339,-25681742.44,1.57E-08,0.0132134942
31.6227766,-93.27960422,-5148037.827,1.71E-08,0.05730248746
33.49654392,-88.48457225,11356219.74,1.58E-08,0.02645537317
35.48133892,-91.55095466,-10267828.73,1.61E-08,0.0270758789
37.58374043,-90.55361719,-26804020.16,1.64E-08,0.00966274345
39.81071706,-91.87043809,-7624567.776,1.61E-08,0.03265690487
42.16965034,-89.02908745,12622007.52,1.76E-08,0.01694724295
44.66835922,-90.2719936,-43208846.62,1.74E-08,0.004747219568
47.3151259,-90.733473,-15211018.09,1.73E-08,0.01280221809
50.11872336,-90.81556923,-13082877.69,1.71E-08,0.01423532975
53.08844442,-91.75300714,-5888119.254,1.67E-08,0.03060529689
56.23413252,-90.86563144,-10925544.57,1.71E-08,0.01510926831
59.56621435,-90.09198559,-97276911.12,1.71E-08,0.001605452784
63.09573445,-89.83279265,49760778.16,1.74E-08,0.002918326993
66.83439176,-90.67385006,-12040113.12,1.68E-08,0.01176144447
70.79457844,-89.37009067,12030779.52,1.70E-08,0.0109944348
74.98942093,-89.21166587,9297433.06,1.66E-08,0.01375989447
79.43282347,-90.93839837,-7239296.485,1.69E-08,0.0163796058
84.13951416,-89.49529356,12665087.83,1.70E-08,0.008809017054
89.12509381,-89.39056045,9930717.295,1.69E-08,0.01063712795
94.40608763,-89.56922527,12999305.37,1.72E-08,0.007518579056
100,-90.33512993,-16046679.37,1.70E-08,0.005849187456
105.9253725,-89.82275724,28449552.62,1.71E-08,0.003093479572
112.2018454,-89.83172533,28898707.78,1.67E-08,0.002936955419
118.8502227,-90.05354535,-84270899.56,1.70E-08,0.0009345429777
125.8925412,-90.10329926,-41078995.65,1.71E-08,0.001802914088
133.3521432,-89.92531058,54550602.17,1.68E-08,0.001303577076
141.2537545,-89.5875465,9304107.496,1.68E-08,0.00719879591
149.6235656,-90.11858697,-29889315.75,1.72E-08,0.002069736114
158.4893192,-90.00734889,-463214346.4,1.69E-08,0.0001282622754
167.8804018,-89.73226448,11919480.39,1.70E-08,0.004672900373
177.827941,-90.09672124,-31281803.33,1.69E-08,0.001688105666
188.3649089,-89.60634652,7175310.403,1.71E-08,0.006870657504
199.5262315,-89.79345916,13017641.48,1.70E-08,0.003604833312
211.348904,-89.50679308,5180572.494,1.69E-08,0.008608297206
223.8721139,-89.99343072,367862336.7,1.69E-08,0.0001146556019
237.1373706,-89.75155746,9130998.814,1.70E-08,0.004336167455
251.1886432,-89.7964767,10529468.92,1.69E-08,0.003552166619
266.072506,-89.49181114,3975328.295,1.70E-08,0.008869801448
281.8382931,-90.12742663,-15013251.43,1.69E-08,0.002224017993
298.5382619,-89.80931499,9495407.012,1.69E-08,0.003328093469
316.227766,-89.63707877,4715995.875,1.68E-08,0.006334255076
334.9654392,-90.08102681,-19809050.19,1.70E-08,0.001414185595
354.8133892,-89.87276573,12092045.13,1.67E-08,0.002220660513
375.8374043,-89.53005019,3059014.385,1.69E-08,0.008202355382
398.1071706,-90.04369727,-30997392.79,1.69E-08,0.0007626614539
421.6965034,-89.93244077,18945764.64,1.69E-08,0.001179131613
446.6835922,-89.97656725,51882762.28,1.68E-08,0.0004089786223
473.151259,-89.93310394,17087652.17,1.69E-08,0.001167556961
501.1872336,-89.849056,7152591.807,1.69E-08,0.002634475867
530.8844442,-90.00474778,-214568004.2,1.69E-08,8.29E-05
562.3413252,-89.72758409,3533026.246,1.68E-08,0.004754590398
595.6621435,-89.73258289,3416881.644,1.68E-08,0.004667342999
630.9573445,-89.9391618,14136623.87,1.68E-08,0.00106182735
668.3439176,-89.92576847,10983326.86,1.67E-08,0.001295585339
707.9457844,-89.71995769,2742431.877,1.68E-08,0.004887699317
749.8942093,-89.70071857,2426409.366,1.67E-08,0.005223493844
794.3282347,-89.85248507,4643998.661,1.68E-08,0.002574626879
841.3951416,-89.8438675,4143464.932,1.68E-08,0.002725032902
891.2509381,-89.73278969,2293727.321,1.67E-08,0.004663733585
944.0608763,-89.87365416,4591008.195,1.67E-08,0.00220515455
1000,-89.78161716,2516322.457,1.66E-08,0.003811518118
1059.253725,-89.89615178,4985308.279,1.66E-08,0.001812495388
1122.018454,-89.76736872,2111746.947,1.65E-08,0.004060204148
1188.502227,-89.8029088,2361166.968,1.65E-08,0.003439904005
1258.925412,-89.8478902,2893162.453,1.65E-08,0.002654823117
1333.521432,-89.76891068,1800023.123,1.64E-08,0.004033291438
1412.537545,-89.95511963,8773486.985,1.64E-08,0.0007833103347
1496.235656,-89.82341726,2099153.168,1.64E-08,0.003081959939
1584.893192,-89.74638435,1384527.258,1.64E-08,0.004426457102
1678.804018,-89.7150605,1162702.021,1.64E-08,0.004973173495
1778.27941,-89.78911718,1483268.562,1.64E-08,0.003680616207
1883.649089,-89.75571819,1206508.515,1.64E-08,0.00426354765
1995.262315,-89.80032357,1393843.217,1.64E-08,0.003485025216
2113.48904,-89.80073786,1317097.141,1.64E-08,0.003477794386
2238.721139,-89.72913818,913939.935,1.65E-08,0.004727465781
2371.373706,-89.79619533,1148134.348,1.64E-08,0.003557077555
2511.886432,-89.74419594,862619.5012,1.65E-08,0.004464652801
2660.72506,-89.77145353,912429.386,1.64E-08,0.0039889095
2818.382931,-89.75032035,787137.4249,1.65E-08,0.00435775962
2985.382619,-89.75343137,752481.8614,1.65E-08,0.004303461047
3162.27766,-89.7349994,661449.9307,1.65E-08,0.004625166048
3349.654392,-89.699011,550205.0194,1.64E-08,0.005253297448
3548.133892,-89.74128095,605392.8483,1.64E-08,0.004515529914
3758.374043,-89.71614058,521251.7896,1.64E-08,0.004954322075
3981.071706,-89.72016223,499024.6299,1.64E-08,0.004884129268
4216.965034,-89.68996318,425467.4426,1.64E-08,0.005411216084
4466.835922,-89.71060399,430028.9078,1.64E-08,0.005050956197
4731.51259,-89.7153393,412418.9708,1.64E-08,0.004968307334
5011.872336,-89.71067005,383278.0627,1.64E-08,0.005049803171
5308.844442,-89.68272569,329964.0249,1.64E-08,0.005537537936
5623.413252,-89.71052016,341403.3921,1.64E-08,0.005052419259
5956.621435,-89.70133483,312868.9099,1.64E-08,0.005212737792
6309.573445,-89.68418618,279320.7736,1.64E-08,0.005512046871
6683.439176,-89.66816709,250840.593,1.64E-08,0.005791641529
7079.457844,-89.63444382,215038.85,1.64E-08,0.006380245433
7498.942093,-89.65786724,216997.2449,1.64E-08,0.005971414108
7943.282347,-89.63843027,193738.5337,1.64E-08,0.006310665975
8413.951416,-89.63056804,179025.41,1.64E-08,0.006447893481
8912.509381,-89.61850619,163812.3515,1.64E-08,0.006658421399
9440.608763,-89.61007618,151390.3104,1.64E-08,0.006805559627
10000,-89.56931004,129442.2386,1.64E-08,0.007517099509
10592.53725,-89.59001436,128338.7817,1.64E-08,0.007155721447
11220.18454,-89.56398202,113985.1004,1.64E-08,0.007610096209
11885.02227,-89.58610515,113330.0126,1.64E-08,0.007223953522
12589.25412,-89.56951956,102949.3613,1.63E-08,0.007513442384
13335.21432,-89.55435685,93933.90971,1.63E-08,0.00777809715
14125.37545,-89.49655542,78494.23217,1.63E-08,0.008786991633
14962.35656,-89.50058048,74713.42512,1.63E-08,0.008716735678
15848.93192,-89.54015103,76597.30706,1.63E-08,0.008026050901
16788.04018,-89.49659793,66086.50045,1.63E-08,0.008786249748
17782.7941,-89.51896831,65311.21787,1.63E-08,0.008395783995
18836.49089,-89.4810238,57175.93453,1.63E-08,0.009058091163
19952.62315,-89.47481017,53356.68376,1.63E-08,0.009166548531
21134.8904,-89.42475561,45974.45292,1.63E-08,0.01004024601
22387.21139,-89.40668476,42112.60217,1.63E-08,0.01035567454
23713.73706,-89.45972872,43639.31803,1.63E-08,0.009429792262
25118.86432,-89.23832407,29169.09113,1.63E-08,0.01329453598
26607.2506,-89.25292166,28128.63793,1.63E-08,0.01303971584
28183.82931,-89.49891181,39354.94365,1.64E-08,0.00874586169
29853.82619,-88.91867513,17118.20553,1.65E-08,0.01887492021
31622.7766,-89.53634386,38256.40525,1.63E-08,0.008092502923
33496.54392,-89.33787587,25053.04016,1.64E-08,0.01155676064
35481.33892,-89.20968764,19987.23269,1.63E-08,0.0137944277
37583.74043,-88.1859192,8167.162218,1.64E-08,0.03167226699
39810.71706,-88.72133088,11040.19193,1.62E-08,0.02232069184
42169.65034,-88.38528881,8253.573751,1.62E-08,0.02818949003
44668.35922,-88.64323666,9348.478588,1.61E-08,0.02368441456
47315.1259,-89.27286602,16282.62379,1.63E-08,0.01269156347
50118.72336,-88.71483373,8797.275425,1.61E-08,0.02243414542
53088.44442,-89.39086308,17390.3698,1.62E-08,0.01063184546
56234.13252,-89.16651332,11977.89266,1.62E-08,0.01454811309
59566.21435,-89.11528979,10646.2986,1.63E-08,0.01544233346
63095.73445,-89.04056351,9280.308688,1.62E-08,0.01674689098
66834.39176,-88.97192717,8155.228485,1.63E-08,0.01794518176
70794.57844,-89.01243185,8039.850882,1.62E-08,0.01723802289
74989.42093,-88.96076069,7200.074547,1.63E-08,0.01814013711
79432.82347,-88.96351439,6811.7075,1.63E-08,0.01809206021
84139.51416,-88.93129062,6241.565516,1.63E-08,0.01865466083
89125.09381,-88.84310747,5433.127136,1.63E-08,0.02019432827
94406.08763,-88.87011654,5258.121962,1.63E-08,0.01972274324
100000,-88.68636609,4270.513959,1.63E-08,0.0229312551
105925.3725,-88.70440147,4077.81787,1.63E-08,0.02261631497
112201.8454,-88.73574362,3950.614162,1.63E-08,0.0220690183
118850.2227,-89.83094744,27853.18981,1.63E-08,0.002950532315
125892.5412,-89.25147775,5916.878476,1.64E-08,0.01306492104
133352.1432,-88.32063567,2493.255947,1.63E-08,0.02931883341
141253.7545,-89.76634036,16644.59989,1.66E-08,0.004078152636
149623.5656,-87.92918159,1773.713036,1.66E-08,0.03615834528
158489.3192,-89.66944287,10390.53432,1.68E-08,0.005769374303
167880.4018,-88.33078598,2009.27999,1.62E-08,0.02914152568
177827.941,-87.56783306,1324.695077,1.59E-08,0.0424748366
188364.9089,-89.36432604,4591.812205,1.66E-08,0.01109505876
199526.2315,-88.86917956,2406.87789,1.68E-08,0.01973910303
211348.904,-86.79824669,801.5385353,1.68E-08,0.05593937651
223872.1139,-90.2631867,9375.451404,1.65E-08,0.004593506841
237137.3706,-89.33006306,3303.830941,1.74E-08,0.01169313821
251188.6432,-88.07161133,1169.578702,1.61E-08,0.03366944591
266072.506,-88.13816644,1056.763442,1.74E-08,0.03250656819
281838.2931,-85.94250942,443.6932753,1.80E-08,0.07093518932
298538.2619,-85.43304747,397.3460628,1.69E-08,0.07987759554
316227.766,-84.85279179,297.080967,1.90E-08,0.09007818508
334965.4392,-87.01212018,503.5882496,1.81E-08,0.05219566359
354813.3892,-87.01647678,485.7416617,1.78E-08,0.0521194198
375837.4043,-87.06104411,462.590917,1.79E-08,0.05133949162
398107.1706,-86.38390787,362.1143667,1.75E-08,0.06319664466
421696.5034,-83.01099943,174.9737151,1.79E-08,0.1225896949
446683.5922,-86.23430352,303.391248,1.79E-08,0.06581859999
473151.259,-79.17881681,88.86579738,2.05E-08,0.1911433994
501187.2336,-81.83298865,112.4411867,2.01E-08,0.1435145336
530884.4442,-83.76263044,148.5222623,1.87E-08,0.1092947303
562341.3252,-81.48888683,93.86291948,2.06E-08,0.1496493008
595662.1435,-78.05288862,62.78512456,2.10E-08,0.2115919651
630957.3445,-77.72175942,51.74579695,2.35E-08,0.2176374656
668343.9176,-76.49752412,43.90497714,2.39E-08,0.2401244625
707945.7844,-68.63505791,22.75180297,2.91E-08,0.3911900344
749894.2093,-74.075369,29.56614181,2.72E-08,0.2853223254
794328.2347,-72.04431843,24.58015196,2.78E-08,0.3240647475
841395.1416,-64.57285726,16.20444161,3.01E-08,0.475415583
