Frec[Hz],Fase [°],Rp[Ohm],Cs[F],D
10,-89.93040072,792119078.6,1.65E-08,0.001214737271
10.59253725,-89.88738669,464147581.4,1.65E-08,0.001965475606
11.22018454,-90.01405844,-3504186419,1.65E-08,0.0002453661015
11.88502227,-89.85267252,316651307.3,1.64E-08,0.002571355243
12.58925412,-89.92941908,625256854.4,1.64E-08,0.001231870142
13.33521432,-89.90711718,448611292.6,1.64E-08,0.00162111244
14.12537545,-89.9183317,482371843.8,1.64E-08,0.00142538167
14.96235656,-89.90577945,395117463.4,1.64E-08,0.001644460227
15.84893192,-89.86928418,268938845.8,1.64E-08,0.002281425418
16.78804018,-89.87358484,262460146.9,1.64E-08,0.00220636427
17.7827941,-89.91653881,375584996.5,1.64E-08,0.001456673632
18.83649089,-89.89682453,287022867.8,1.63E-08,0.001800753689
19.95262315,-89.92512633,373137433.8,1.64E-08,0.001306792773
21.1348904,-89.87004646,202995464.1,1.64E-08,0.002268121065
22.38721139,-89.88178159,210513628.5,1.64E-08,0.002063303446
23.71373706,-89.87953143,194991415.2,1.64E-08,0.002102576283
25.11886432,-89.89180472,204884291.5,1.64E-08,0.001888366089
26.6072506,-89.83811083,129197728.2,1.64E-08,0.002825506501
28.18382931,-89.87305736,155516289.9,1.64E-08,0.00221557065
29.85382619,-89.8744782,148405931.7,1.64E-08,0.002190772274
31.6227766,-89.89033359,160426631.6,1.64E-08,0.001914042197
33.49654392,-89.8628641,121173710.3,1.64E-08,0.002393477509
35.48133892,-89.88256816,133727470.4,1.64E-08,0.00204957505
37.58374043,-89.8702642,114287763.5,1.64E-08,0.002264320804
39.81071706,-89.87501495,112107657.8,1.63E-08,0.00218140413
42.16965034,-89.85182578,89182862.02,1.64E-08,0.002586133852
44.66835922,-89.89371538,117568211.1,1.63E-08,0.00185501862
47.3151259,-89.89511728,112165223.4,1.64E-08,0.001830550753
50.11872336,-89.80518585,57144139.26,1.63E-08,0.00340016144
53.08844442,-89.87956128,87049302.38,1.64E-08,0.002102055285
56.23413252,-89.81535433,53669120.4,1.64E-08,0.003222686002
59.56621435,-89.83213634,55718435.25,1.64E-08,0.002929782019
63.09573445,-89.84960592,58781774.01,1.63E-08,0.002624877924
66.83439176,-89.85034896,55771370.71,1.63E-08,0.002611909277
70.79457844,-89.84063542,49461798.76,1.63E-08,0.002781443892
74.98942093,-89.85418108,50998203.12,1.64E-08,0.00254502578
79.43282347,-89.85276708,47687052.08,1.64E-08,0.002569704923
84.13951416,-89.84147478,41813961.02,1.64E-08,0.002766794145
89.12509381,-89.84608553,40677746.18,1.63E-08,0.002686320778
94.40608763,-89.84415617,37941414.94,1.63E-08,0.002719994583
100,-89.84149942,35220740.31,1.63E-08,0.002766364071
105.9253725,-89.83104968,31200613.36,1.63E-08,0.002948747922
112.2018454,-89.83412182,30001367.41,1.63E-08,0.002895128444
118.8502227,-89.94795676,90437036.47,1.63E-08,0.0009083262043
125.8925412,-89.82547394,25411614.11,1.63E-08,0.003046063834
133.3521432,-89.8064651,21629834.99,1.63E-08,0.003377834098
141.2537545,-89.82191841,22201177.47,1.63E-08,0.003108120053
149.6235656,-89.81996407,20734182.07,1.63E-08,0.003142230044
158.4893192,-89.82565912,20222156.89,1.63E-08,0.003042831793
167.8804018,-89.82479796,18994527.04,1.63E-08,0.003057862013
177.827941,-89.79232722,15125066.94,1.63E-08,0.003624589601
188.3649089,-89.93900396,48705590.34,1.63E-08,0.001064582109
199.5262315,-89.75018629,11208879.9,1.63E-08,0.004360099462
211.348904,-89.77348528,11676051.02,1.63E-08,0.003953448182
223.8721139,-89.89488543,23781832.13,1.63E-08,0.001834597436
237.1373706,-89.786941,11066229.08,1.63E-08,0.003718598151
251.1886432,-89.75652834,9139759.602,1.63E-08,0.004249407653
266.072506,-89.76037388,8771452.531,1.63E-08,0.004182289172
281.8382931,-89.85175144,13394033.09,1.63E-08,0.00258743123
298.5382619,-89.7130891,6529741.877,1.63E-08,0.005007581754
316.227766,-89.70264688,5946795.043,1.63E-08,0.005189837605
334.9654392,-89.70834503,5725066.138,1.63E-08,0.005090383479
354.8133892,-89.67789557,4894749.817,1.63E-08,0.005621842011
375.8374043,-89.72018507,5321142.194,1.63E-08,0.00488373072
398.1071706,-89.6772271,4354197.155,1.63E-08,0.005633509409
421.6965034,-89.67406726,4072470.546,1.63E-08,0.005688660846
446.6835922,-89.69813629,4150835.948,1.63E-08,0.005268564425
473.151259,-89.64547691,3336985.725,1.63E-08,0.00618767423
501.1872336,-89.61958208,2936323.586,1.63E-08,0.006639642797
530.8844442,-89.68793814,3381067.527,1.63E-08,0.00544656071
562.3413252,-89.55503763,2237634.434,1.63E-08,0.007766214555
595.6621435,-89.61316593,2430745.501,1.63E-08,0.006751630711
630.9573445,-89.61915453,2331023.875,1.63E-08,0.006647105281
668.3439176,-89.55651673,1890450.022,1.63E-08,0.007740397788
707.9457844,-89.55102795,1763241.761,1.63E-08,0.00783620099
749.8942093,-89.52477046,1572332.785,1.63E-08,0.008294510365
794.3282347,-89.48274013,1363920.4,1.63E-08,0.009028133062
841.3951416,-89.47987424,1280737.402,1.63E-08,0.009078156427
891.2509381,-89.53103145,1341589.733,1.63E-08,0.008185228049
944.0608763,-89.45636314,1092746.306,1.63E-08,0.009488537945
1000,-89.39000634,919360.7969,1.63E-08,0.01064679998
1059.253725,-89.4598248,980618.7295,1.63E-08,0.009428115124
1122.018454,-89.41303453,852061.1144,1.63E-08,0.01024483841
1188.502227,-89.38655405,769758.6833,1.62E-08,0.01070706065
1258.925412,-89.28481767,623360.6023,1.62E-08,0.01248293466
1333.521432,-89.25980956,568696.4032,1.62E-08,0.01291947896
1412.537545,-89.22952169,515935.0919,1.62E-08,0.01344819399
1496.235656,-89.20277792,470844.8441,1.62E-08,0.01391504825
1584.893192,-89.18501982,434823.3319,1.62E-08,0.01422504686
1678.804018,-89.09653114,370369.609,1.62E-08,0.01576981338
1778.27941,-89.09401984,348789.3092,1.62E-08,0.01581365481
1883.649089,-89.0460441,312827.8216,1.62E-08,0.01665121003
1995.262315,-88.9739384,274706.2995,1.62E-08,0.01791006792
2113.48904,-88.95065444,253649.3602,1.62E-08,0.01831658306
2238.721139,-88.93205128,235336.3246,1.62E-08,0.01864138018
2371.373706,-88.93137506,222028.086,1.62E-08,0.01865318659
2511.886432,-88.81084842,188353.6099,1.62E-08,0.02075759091
2660.72506,-88.76105294,170807.2981,1.62E-08,0.02162707635
2818.382931,-88.7396329,158612.9179,1.62E-08,0.02200110452
2985.382619,-88.65531844,140293.6785,1.62E-08,0.02347343048
3162.27766,-88.53347844,121540.1069,1.62E-08,0.02560122075
3349.654392,-88.45260133,108703.2303,1.62E-08,0.02701376982
3548.133892,-88.55563732,110051.5847,1.62E-08,0.02521422565
3758.374043,-88.14723638,81004.22557,1.62E-08,0.0323481014
3981.071706,-88.40610021,88936.31544,1.62E-08,0.02782597762
4216.965034,-87.92711339,64625.09508,1.62E-08,0.03619448938
4466.835922,-88.04170835,64497.51513,1.62E-08,0.03419195221
4731.51259,-87.87700902,56284.09553,1.61E-08,0.03707014922
5011.872336,-88.3431256,68063.9843,1.61E-08,0.02892597707
5308.844442,-88.01598067,53714.28071,1.61E-08,0.0346415168
5623.413252,-87.85062959,46798.1945,1.61E-08,0.03753119759
5956.621435,-87.74885268,42220.0305,1.61E-08,0.03931016236
6309.573445,-87.65710658,38311.71331,1.61E-08,0.04091401079
6683.439176,-87.57750528,34939.3832,1.61E-08,0.04230572118
7079.457844,-87.56105508,32828.07342,1.61E-08,0.04259334869
7498.942093,-87.37137268,28726.33554,1.61E-08,0.04591041701
7943.282347,-87.19892283,25465.98106,1.61E-08,0.04892700451
8413.951416,-87.12145127,23422.84106,1.61E-08,0.05028246569
8912.509381,-86.98682256,21102.24321,1.61E-08,0.05263840355
9440.608763,-86.7675745,18584.02924,1.61E-08,0.05647639856
10000,-86.69984564,17179.90316,1.61E-08,0.05766234019
10592.53725,-86.56111791,15577.75996,1.61E-08,0.06009199045
11220.18454,-86.3677122,13870.84621,1.62E-08,0.06348044637
11885.02227,-86.13732132,12331.1581,1.62E-08,0.06751878238
12589.25412,-85.91378137,11018.85856,1.61E-08,0.07143912931
13335.21432,-85.93531474,10452.69422,1.61E-08,0.07106139312
14125.37545,-85.51721563,8937.038264,1.62E-08,0.07839938336
14962.35656,-85.4032201,8219.829412,1.62E-08,0.08040152478
15848.93192,-85.17138399,7385.963436,1.62E-08,0.08447533269
16788.04018,-84.82401908,6503.118683,1.62E-08,0.09058446138
17782.7941,-84.65037057,5943.162488,1.62E-08,0.09364091693
18836.49089,-84.23545633,5197.824049,1.63E-08,0.1009511204
19952.62315,-84.09701157,4747.937486,1.64E-08,0.1033926627
21134.8904,-83.70270881,4221.84475,1.64E-08,0.1103531742
22387.21139,-83.16310689,3652.326954,1.65E-08,0.1198958928
23713.73706,-83.17301682,3443.418333,1.65E-08,0.1197204491
25118.86432,-82.4951926,2950.799714,1.66E-08,0.1317378578
26607.2506,-81.98476007,2595.364905,1.67E-08,0.1408120854
28183.82931,-81.15381416,2217.244547,1.68E-08,0.1556336958
29853.82619,-80.78707335,1999.677844,1.69E-08,0.1621961976
31622.7766,-79.89319643,1716.784396,1.70E-08,0.1782496452
33496.54392,-79.86701979,1609.995926,1.70E-08,0.1787210681
35481.33892,-78.6430704,1346.225859,1.73E-08,0.2008532049
37583.74043,-77.61445685,1167.714165,1.73E-08,0.2195997573
39810.71706,-77.50340423,1099.675245,1.72E-08,0.2216323282
