Frec[Hz],Fase [°],|Z|[ohm],Rs[ohm],Ls[H],Q
1.0000E+01,6.5180E+00,5.9716E-01,5.9330E-01,1.0789E-03,1.1425E-01
1.0593E+01,8.1204E+00,5.9621E-01,5.9023E-01,1.2654E-03,1.4268E-01
1.1220E+01,6.8226E+00,5.9175E-01,5.8756E-01,9.9715E-04,1.1964E-01
1.1885E+01,7.1406E+00,5.9844E-01,5.9380E-01,9.9615E-04,1.2528E-01
1.2589E+01,7.5191E+00,6.1088E-01,6.0562E-01,1.0106E-03,1.3199E-01
1.3335E+01,8.6204E+00,5.9170E-01,5.8501E-01,1.0585E-03,1.5160E-01
1.4125E+01,9.5608E+00,6.0928E-01,6.0082E-01,1.1402E-03,1.6843E-01
1.4962E+01,8.9395E+00,6.1458E-01,6.0711E-01,1.0158E-03,1.5730E-01
1.5849E+01,8.9417E+00,5.9263E-01,5.8543E-01,9.2499E-04,1.5734E-01
1.6788E+01,1.0302E+01,6.2326E-01,6.1321E-01,1.0567E-03,1.8177E-01
1.7783E+01,1.0989E+01,5.9772E-01,5.8676E-01,1.0197E-03,1.9418E-01
1.8836E+01,1.1857E+01,6.0939E-01,5.9639E-01,1.0579E-03,2.0995E-01
1.9953E+01,1.1374E+01,6.1294E-01,6.0090E-01,9.6418E-04,2.0116E-01
2.1135E+01,1.3505E+01,6.1576E-01,5.9873E-01,1.0829E-03,2.4017E-01
2.2387E+01,1.3028E+01,6.0215E-01,5.8665E-01,9.6498E-04,2.3138E-01
2.3714E+01,1.4010E+01,5.9027E-01,5.7271E-01,9.5907E-04,2.4951E-01
2.5119E+01,1.6945E+01,6.1813E-01,5.9130E-01,1.1415E-03,3.0467E-01
2.6607E+01,1.6629E+01,6.2417E-01,5.9807E-01,1.0685E-03,2.9867E-01
2.8184E+01,1.6914E+01,6.1197E-01,5.8550E-01,1.0054E-03,3.0409E-01
2.9854E+01,1.7469E+01,6.2261E-01,5.9389E-01,9.9641E-04,3.1471E-01
3.1623E+01,1.8901E+01,6.1707E-01,5.8380E-01,1.0061E-03,3.4240E-01
3.3497E+01,1.9826E+01,6.2132E-01,5.8449E-01,1.0013E-03,3.6054E-01
3.5481E+01,2.0024E+01,6.3829E-01,5.9970E-01,9.8038E-04,3.6445E-01
3.7584E+01,2.1937E+01,6.3993E-01,5.9360E-01,1.0124E-03,4.0274E-01
3.9811E+01,2.2839E+01,6.3849E-01,5.8843E-01,9.9077E-04,4.2117E-01
4.2170E+01,2.3878E+01,6.5008E-01,5.9443E-01,9.9317E-04,4.4269E-01
4.4668E+01,2.6407E+01,6.3648E-01,5.7007E-01,1.0086E-03,4.9655E-01
